Date,Open,High,Low,Close,Adj Close,Volume
2011-10-01,18.424999,21.715000,17.559999,21.180000,18.520021,299915200
2011-11-01,20.665001,22.350000,20.275000,21.740000,19.009691,288323400
2011-12-01,21.600000,23.250000,21.334999,23.004999,20.194492,204133600
2012-01-01,23.424999,24.309999,22.639999,23.959999,21.032824,245264200
2012-02-01,24.170000,24.680000,23.705000,24.280001,21.313726,178910200
2012-03-01,24.344999,28.275000,24.049999,27.945000,24.617580,302610600
2012-04-01,28.014999,31.000000,27.980000,28.684999,25.269470,423761600
2012-05-01,28.754999,29.215000,25.715000,27.445000,24.177120,353944600
2012-06-01,26.555000,27.985001,25.514999,26.660000,23.557671,327233200
2012-07-01,26.719999,27.139999,22.545000,22.639999,20.005466,333250400
2012-08-01,22.735001,25.030001,21.520000,24.805000,21.918528,417867400
2012-09-01,24.725000,26.000000,24.495001,25.355000,22.491602,274167200
2012-10-01,25.465000,25.650000,22.135000,22.950001,20.358208,412758000
2012-11-01,22.870001,26.155001,22.695000,25.934999,23.006100,332715600
2012-12-01,26.070000,27.450001,24.780001,26.815001,23.885698,309576800
2013-01-01,27.295000,28.635000,26.840000,28.059999,24.994692,283483800
2013-02-01,28.285000,28.549999,26.260000,27.424999,24.429060,192701000
2013-03-01,27.315001,29.485001,27.000000,28.475000,25.459679,220112400
