czone,native_wage_change,native_unemploy_rate_change,native_parti_rate_change,employ_share_m_change,card_iv,col_share,manu_share,female_share,x_c.hat,immigration_inflow_ratio
1400,0.287979578,0.302011929,-0.008905269,-0.330539781,0.008246949,0.283052242,0.286695421,0.424278615,0.061775483,0.058674943
1500,0.239797775,0.227515663,-0.023426546,-0.369995321,0.008157823,0.298549758,0.268640112,0.424236598,0.066524526,0.067547228
1600,0.20393185,-0.010435117,-0.025685669,-0.361659381,0.007936308,0.245259705,0.310605872,0.445080792,0.074673375,0.064196038
1701,0.354121308,0.426752647,-0.001384694,-0.216899276,0.008669526,0.424676571,0.226875806,0.459021012,0.149018001,0.272381062
1702,0.210601979,0.076641543,-0.079303756,-0.55250856,0.005166813,0.214333557,0.368720697,0.446416611,0.053981441,0.085800775
1800,0.212181045,0.087033947,-0.024430382,-0.514433343,0.011320292,0.25546625,0.281586724,0.436765151,0.082042202,0.122498572
1900,0.256672283,0.261956139,0.007757283,-0.308702992,0.011137464,0.288088672,0.195419774,0.396792773,0.044708355,0.067376983
2000,0.255933296,-0.040141219,0.006667716,-0.159654659,0.012594139,0.361390339,0.137670996,0.410588222,0.090812676,0.07402763
2100,0.223965501,0.244174375,-0.014782889,-0.363141523,0.0079137,0.308997027,0.257118928,0.423203469,0.067714113,0.029602696
2200,0.253564599,0.308478081,-0.013497849,-0.452222256,0.003877174,0.202449539,0.326879347,0.420949462,0.015750543,0.029541219
2300,0.161000507,0.021041984,-0.020213332,-0.350190289,0.00871064,0.29708444,0.389682607,0.440682807,0.083328119,0.030357801
2400,0.26936809,0.449998272,-0.004545544,-0.21854298,0.009076331,0.387442267,0.201346529,0.44718024,0.126635061,0.097946842
2500,0.236111263,0.084497308,0.012677836,-0.132649523,0.006634129,0.359942698,0.203472169,0.417211541,0.071861633,0.058327056
2600,0.18661096,0.252585277,-0.005154514,-0.404667357,0.005150527,0.257785425,0.322730055,0.438838565,0.058764603,0.014081095
2700,0.202575578,0.190053198,4.49E-04,-0.191714854,0.007513464,0.350045542,0.208562326,0.390853438,0.039657104,0.036280606
2800,0.167223936,-0.2459073,-0.042713795,-0.325172042,0.005250592,0.283324679,0.261318046,0.40060859,0.021629807,0.033139274
2900,0.254243746,-0.05152475,0.022637866,-0.190221121,0.007067989,0.33968121,0.199298007,0.404109214,0.051832368,0.039786655
3001,0.274817341,0.209779958,0.017130708,-0.160276963,0.00778578,0.272532189,0.278540773,0.443776824,0.081542368,0.009985688
3002,0.128805237,0.331270081,-0.051839284,-0.382895015,0.012926292,0.357671156,0.213076576,0.436672952,0.120102512,0.004984553
3003,0.280809485,0.278760578,0.005450601,-0.216548476,0.009927684,0.427838602,0.1825979,0.453665323,0.150266111,0.017777366
3101,0.071576142,0.014527523,-0.068425502,-0.726161276,0.004972559,0.32110067,0.230367747,0.406162147,0.039399235,0.002643188
3102,0.205611021,0.030069838,-0.004932991,-0.323268663,0.005083027,0.304690062,0.250573959,0.40472286,0.032544596,0.007335302
3201,0.129403765,-0.134495913,-0.002398062,-0.412634506,-9.99E-04,0.220128023,0.135135135,0.326813656,-0.107047253,-0.007323221
3202,0.130378098,0.040044012,-0.002145288,-0.39228062,0.006064409,0.2720124,0.211371943,0.380269414,-0.001305303,-1.49E-05
3203,0.152910685,0.400950501,-0.011790326,-0.269611252,0.013097612,0.329391399,0.222888365,0.417920836,0.089135732,0.00445848
3300,0.129889078,0.358240262,-0.018911492,-0.313360758,0.02235236,0.376871398,0.131196571,0.398368489,0.119291503,0.027955661
3400,0.048501957,0.234393714,-0.024763157,-0.324875196,0.01527014,0.238405716,0.157637977,0.332327014,-0.031041977,0.018398792
3500,0.100747819,0.088311557,0.00804905,-0.124970059,0.013147497,0.382840798,0.170159624,0.393025848,0.075798729,0.035197915
3600,0.151312133,0.169675729,0.018963565,-0.092894068,0.005535517,0.277423735,0.100542195,0.387127797,0.011562357,0.014229604
3700,0.081655607,0.30512853,-0.005257249,-0.300415607,0.008939916,0.297302751,0.181939152,0.354424677,-0.013471682,0.025141071
3800,0.111261108,0.365874942,0.010409635,-0.248603964,0.014544428,0.294481369,0.107302308,0.369208759,0.029823644,0.023238507
3901,0.092728195,0.279236742,0.002939892,-0.259682891,0.004988108,0.312305219,0.176704614,0.40431721,0.037099292,0.010669266
3902,0.12196692,0.147418441,-0.001134708,-0.294476973,0.003097374,0.220440134,0.188735546,0.382693025,-0.02362627,-8.60E-04
4001,0.177377572,-0.02001738,-0.01052303,-0.179183062,0.005541747,0.267644188,0.317833687,0.403183352,0.01906252,0.017675123
4002,0.123211723,0.236296308,-0.005639751,-0.196327478,0.006307282,0.3314755,0.185710164,0.427398444,0.075999404,0.017134155
